complaint_id,date_raised,city,ward,location,description,reported_by,days_open,category,priority,reason,flag
PM-202401,2024-06-21,Pune,Ward 4 – Warje,Karve Road near Deccan Gymkhana,Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.,Citizen Portal,4,Pothole,Low,Classified based on description: 'Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.'.,
PM-202402,2024-06-04,Pune,Ward 3 – Kothrud,FC Road near MIT College junction,Deep pothole near bus stop. School children at risk during morning hours.,Councillor Referral,12,Pothole,Urgent,"Description contains 'child', triggering Urgent priority.",
PM-202406,2024-06-08,Pune,Ward 1 – Kasba,Ambedkar Road underpass,Underpass flooded knee-deep after 2hrs rain. Commuters stranded.,Councillor Referral,8,Flooding,Low,Classified based on description: 'Underpass flooded knee-deep after 2hrs rain. Commuters stranded.'.,
PM-202408,2024-06-05,Pune,Ward 3 – Kothrud,Kothrud Depot bus stand,Bus stand flooded. Passengers standing in water. Drain blocked.,Ward Office Walk-in,12,Flooding,Low,Classified based on description: 'Bus stand flooded. Passengers standing in water. Drain blocked.'.,
PM-202410,2024-06-04,Pune,Ward 2 – Shivajinagar,JM Road near Goodluck Chowk,Three consecutive streetlights out for 10 days. Area very dark at night.,Email,18,Streetlight,Low,Classified based on description: 'Three consecutive streetlights out for 10 days. Area very dark at night.'.,
PM-202411,2024-06-22,Pune,Ward 2 – Shivajinagar,"Viman Nagar, Vadgaon Sheri Road",Streetlight flickering and sparking. Electrical hazard reported.,Social Media,9,Streetlight,Urgent,"Description contains 'hazard', triggering Urgent priority.",
PM-202413,2024-06-29,Pune,Ward 1 – Kasba,Shivajinagar market area,Overflowing garbage bins near vegetable market. Smell affecting shoppers.,WhatsApp Helpline,13,Waste,Low,Classified based on description: 'Overflowing garbage bins near vegetable market. Smell affecting shoppers.'.,
PM-202418,2024-06-02,Pune,Ward 4 – Warje,Kalyani Nagar residential zone,Wedding venue playing music past midnight on weeknights.,Citizen Portal,5,Other,Low,Classified based on description: 'Wedding venue playing music past midnight on weeknights.'.,NEEDS_REVIEW
PM-202419,2024-06-01,Pune,Ward 2 – Shivajinagar,Senapati Bapat Road,Road surface cracked and sinking near utility work done 1 month ago.,Social Media,2,Other,Low,Classified based on description: 'Road surface cracked and sinking near utility work done 1 month ago.'.,NEEDS_REVIEW
PM-202420,2024-06-03,Pune,Ward 1 – Kasba,Paud Road near Kothrud,Manhole cover missing. Risk of serious injury to cyclists.,Email,14,Other,Urgent,"Description contains 'injury', triggering Urgent priority.",NEEDS_REVIEW
PM-202427,2024-06-07,Pune,Ward 5 – Hadapsar,Erandwane depression near bridge,Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.,Councillor Referral,12,Flooding,Low,Classified based on description: 'Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.'.,
PM-202428,2024-06-23,Pune,Ward 3 – Kothrud,Pune University Road,Dead animal not removed for 36 hours. Health concern.,Email,1,Other,Low,Classified based on description: 'Dead animal not removed for 36 hours. Health concern.'.,NEEDS_REVIEW
PM-202430,2024-06-23,Pune,Ward 1 – Kasba,"Rasta Peth, old city area","Heritage street, lights out. Safety concern for pedestrians after dark.",Social Media,19,Heritage Damage,Low,"Classified based on description: 'Heritage street, lights out. Safety concern for pedestrians after dark.'.",
PM-202433,2024-06-08,Pune,Ward 2 – Shivajinagar,Dhole Patil Road,Bulk waste from apartment renovation dumped on public road.,Phone Helpline,20,Waste,Low,Classified based on description: 'Bulk waste from apartment renovation dumped on public road.'.,
PM-202446,2024-06-09,Pune,Ward 2 – Shivajinagar,"Swargate, Tilak Road",Footpath tiles broken and upturned. Elderly resident fell last week.,Email,18,Other,Urgent,"Description contains 'fell', triggering Urgent priority.",NEEDS_REVIEW
