period,ward,category,actual_spend,growth_pct,formula,null_flag,null_reason
2024-01,Ward 1 – Kasba,Roads & Pothole Repair,13.3,N/A — no prior period,N/A — no prior period (MoM),FALSE,
2024-02,Ward 1 – Kasba,Roads & Pothole Repair,12.2,-8.3%,MoM = (12.2 - 13.3) / 13.3 * 100 = -8.3%,FALSE,
2024-03,Ward 1 – Kasba,Roads & Pothole Repair,12.3,+0.8%,MoM = (12.3 - 12.2) / 12.2 * 100 = +0.8%,FALSE,
2024-04,Ward 1 – Kasba,Roads & Pothole Repair,13.4,+8.9%,MoM = (13.4 - 12.3) / 12.3 * 100 = +8.9%,FALSE,
2024-05,Ward 1 – Kasba,Roads & Pothole Repair,14.1,+5.2%,MoM = (14.1 - 13.4) / 13.4 * 100 = +5.2%,FALSE,
2024-06,Ward 1 – Kasba,Roads & Pothole Repair,14.8,+5.0%,MoM = (14.8 - 14.1) / 14.1 * 100 = +5.0%,FALSE,
2024-07,Ward 1 – Kasba,Roads & Pothole Repair,19.7,+33.1%,MoM = (19.7 - 14.8) / 14.8 * 100 = +33.1%,FALSE,
2024-08,Ward 1 – Kasba,Roads & Pothole Repair,20.2,+2.5%,MoM = (20.2 - 19.7) / 19.7 * 100 = +2.5%,FALSE,
2024-09,Ward 1 – Kasba,Roads & Pothole Repair,20.1,-0.5%,MoM = (20.1 - 20.2) / 20.2 * 100 = -0.5%,FALSE,
2024-10,Ward 1 – Kasba,Roads & Pothole Repair,13.1,-34.8%,MoM = (13.1 - 20.1) / 20.1 * 100 = -34.8%,FALSE,
2024-11,Ward 1 – Kasba,Roads & Pothole Repair,14.2,+8.4%,MoM = (14.2 - 13.1) / 13.1 * 100 = +8.4%,FALSE,
2024-12,Ward 1 – Kasba,Roads & Pothole Repair,12.7,-10.6%,MoM = (12.7 - 14.2) / 14.2 * 100 = -10.6%,FALSE,
